2026-03-27 16:38:33,586 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.5423075424884964, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,586 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.5423075424884964, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,586 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.5423075424884964, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,586 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.5423075424884964, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,586 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.5423075424884964, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,586 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.5423075424884964, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,586 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.5523075424884962, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,586 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.5323075424884967, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,596 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.5423075424884964, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,596 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.5423075424884964, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,596 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.5423075424884964, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,596 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.5423075424884964, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,597 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=3.5423075424884964, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,661 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0393334906252558, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,661 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0393334906252558, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,661 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0393334906252558, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,661 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0393334906252558, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,668 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0393334906252558, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,668 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0393334906252558, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,668 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0493334906252558, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,668 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0293334906252558, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,668 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0393334906252558, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,668 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0393334906252558, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,668 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0393334906252558, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,668 - nsEVDx - DEBUG - Prior uniform returned invalid logpdf for param3: val=1.0393334906252558, kwargs={'loc': np.float64(1.101221870612031), 'scale': np.float64(2.4226881153464683)}
2026-03-27 16:38:33,668 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:33,668 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:33,668 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
2026-03-27 16:38:33,668 - nsEVDx - DEBUG - Prior normal returned invalid logpdf for param0: val=nan, kwargs={'loc': np.float64(36.210492227397154), 'scale': np.float64(18.105246113698577)}
